ranglijst;song;artiest;jaar_uitgebracht;jaar_lijst
1;Bohemian Rhapsody;Queen;-1975;2021
2;Roller Coaster;Danny Vera;-2019;2021
3;A Whiter Shade Of Pale;Procol Harum;-1967;2021
4;Hotel California;Eagles;-1977;2021
5;Piano Man;Billy Joel;-1974;2021
6;Radar Love;Golden Earring;-1973;2021
7;Stairway To Heaven;Led Zeppelin;-1971;2021
8;Nothing Else Matters;Metallica;-1992;2021
9;Black;Pearl Jam;-1991;2021
10;Avond;Boudewijn De Groot;-1997;2021
11;Fix you;Coldplay;-2005;2021
12;Love Of My Life;Queen;-1975;2021
13;Wish You Were Here;Pink Floyd;-1975;2021
14;Soldier On;Di-rect;-2020;2021
15;Child In Time;Deep Purple;-1972;2021
16;The River;Bruce Springsteen;-1981;2021
17;November Rain;Guns N' Roses;-1992;2021
18;Brothers In Arms;Dire Straits;-1985;2021
19;The Sound Of Silence;Disturbed;-2016;2021
20;Door De Wind;Miss Montreal;-2020;2021
21;Purple Rain;Prince & the Revolution;-1984;2021
22;Comfortably Numb;Pink Floyd;-1979;2021
23;Africa;Toto;-1982;2021
24;Heroes;David Bowie;-1977;2021
25;Sultans Of Swing;Dire Straits;-1978;2021
26;One;Metallica;-1994;2021
27;Oceaan;Racoon;-2013;2021
28;The Sound Of Silence;Simon & Garfunkel;-1966;2021
29;Shine On You Crazy Diamond;Pink Floyd;-1975;2021
30;Smells Like Teen Spirit;Nirvana;-1991;2021
31;Thunderstruck;AC/DC;-1990;2021
32;Just breathe;Pearl Jam;-2009;2021
33;Sweet Child O' Mine;Guns N' Roses;-1988;2021
34;Imagine;John Lennon;-1971;2021
35;Paradise By The Dashboard Light;Meat Loaf;-1978;2021
36;Telegraph Road;Dire Straits;-1982;2021
37;In The Air Tonight;Phil Collins;-1981;2021
38;Shallow;Lady Gaga & Bradley Cooper;-2018;2021
39;Over De Muur;Klein Orkest;-1984;2021
40;A Forest;The Cure;-1980;2021
41;Hurt;Johnny Cash;-2003;2021
